dish_id,caption,image_path,calories,protein,fat,carbs,cleaned_caption
dish_1562963704,"This plate contains 3.5g radishes, 12.3g bok choy, 3.5g vinegar, 0.6g salt, 103.0g roasted potatoes, 17.5g mixed greens, 5.8g soy sauce, 104.0g caesar salad, 3.7g garlic, 9.2g sugar, 0.3g pepper, 12.3g white rice, 86.2g pork, 35.1g rice noodles, 17.5g cabbage, 52.0g pizza, 1.8g olive oil, 8.8g carrot, and 1.8g green onions. It provides approximately 663.8 kcal, 35.9g protein, 28.4g fat, and 66.1g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1562963704/rgb.png,663.8,35.9,28.4,66.1,"This plate contains 3.5g radishes, 12.3g bok choy, 3.5g vinegar, , 103.0g roasted potatoes, 17.5g mixed greens, 5.8g soy sauce, 104.0g caesar salad, 3.7g garlic, , 0.3g pepper, 12.3g white rice, 86.2g pork, 35.1g rice noodles, 17.5g cabbage, 52.0g pizza, 1.8g olive oil, 8.8g carrot, and 1.8g green onions."
dish_1566417398,"This plate contains 0.4g mustard, 2.6g vinegar, 32.5g mixed greens, 2.6g celery root, 5.2g olive oil, 0.1g salt, and 2.6g cherry tomatoes. It provides approximately 56.9 kcal, 0.8g protein, 5.4g fat, and 2.1g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1566417398/rgb.png,56.9,0.8,5.4,2.1,"This plate contains 0.4g mustard, 2.6g vinegar, 32.5g mixed greens, 2.6g celery root, 5.2g olive oil, , and 2.6g cherry tomatoes."
dish_1561739238,"This plate contains 71.0g egg whites, 43.0g hash browns, 61.0g berries, and 82.0g sweet potato. It provides approximately 274.2 kcal, 9.5g protein, 9.8g fat, and 37.6g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1561739238/rgb.png,274.2,9.5,9.8,37.6,"This plate contains 71.0g egg whites, 43.0g hash browns, 61.0g berries, and 82.0g sweet potato."
dish_1562611680,"This plate contains 0.1g cilantro, 0.4g garlic, 7.1g olive oil, 50.0g pepperoni pizza, 0.1g lemon juice, 1.6g onions, 3.7g vinegar, 7.1g blueberries, 0.3g salt, 110.0g caesar salad, 19.9g steak, 0.7g kale, 0.1g jalapenos, 44.3g spinach (raw), 0.4g mustard, 2.6g white rice, 7.1g radishes, and 0.7g pineapple. It provides approximately 326.9 kcal, 16.0g protein, 19.4g fat, and 24.8g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1562611680/rgb.png,326.9,16.0,19.4,24.8,"This plate contains 0.1g cilantro, 0.4g garlic, 7.1g olive oil, 50.0g pepperoni pizza, 0.1g lemon juice, 1.6g onions, 3.7g vinegar, 7.1g blueberries, , 110.0g caesar salad, 19.9g steak, 0.7g kale, 0.1g jalapenos, 44.3g spinach (raw), 0.4g mustard, 2.6g white rice, 7.1g radishes, and 0.7g pineapple."
dish_1564432238,"This plate contains 3.6g cherry tomatoes, 60.0g cauliflower, 0.5g lime, 1.8g mayonnaise, 0.1g jalapenos, 63.0g pepperoni pizza, 0.5g parsley, 1.8g vinegar, 0.9g lemon juice, 9.2g cabbage, 13.6g mixed greens, 9.1g lettuce, 0.3g salt, 0.3g pepper, 58.0g pineapple, 69.2g pork, 9.2g wheat berry, 1.8g onions, 4.5g cucumbers, 4.1g olive oil, 0.9g garlic, and 2.3g carrot. It provides approximately 455.4 kcal, 28.1g protein, 23.2g fat, and 34.9g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1564432238/rgb.png,455.4,28.1,23.2,34.9,"This plate contains 3.6g cherry tomatoes, 60.0g cauliflower, 0.5g lime, 1.8g mayonnaise, 0.1g jalapenos, 63.0g pepperoni pizza, 0.5g parsley, 1.8g vinegar, 0.9g lemon juice, 9.2g cabbage, 13.6g mixed greens, 9.1g lettuce, , 0.3g pepper, 58.0g pineapple, 69.2g pork, 9.2g wheat berry, 1.8g onions, 4.5g cucumbers, 4.1g olive oil, 0.9g garlic, and 2.3g carrot."
dish_1563468327,"This plate contains 46.2g yam, 46.2g sweet potato, 83.0g cottage cheese, 107.0g pineapple, 132.0g watermelon, 5.5g olive oil, and 63.0g berries. It provides approximately 351.9 kcal, 12.1g protein, 9.8g fat, and 57.5g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563468327/rgb.png,351.9,12.1,9.8,57.5,"This plate contains 46.2g yam, 46.2g sweet potato, 83.0g cottage cheese, 107.0g pineapple, 132.0g watermelon, 5.5g olive oil, and 63.0g berries."
dish_1562862493,"This plate contains 134.0g scrambled eggs. It provides approximately 198.3 kcal, 13.4g protein, 14.7g fat, and 2.1g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1562862493/rgb.png,198.3,13.4,14.7,2.1,This plate contains 134.0g scrambled eggs.
dish_1558549008,"This plate contains 115.0g cherry tomatoes. It provides approximately 20.7 kcal, 1.0g protein, 0.2g fat, and 4.5g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1558549008/rgb.png,20.7,1.0,0.2,4.5,This plate contains 115.0g cherry tomatoes.
dish_1560453174,"This plate contains 0.2g basil, 0.2g rosemary, 5.6g carrot, 13.0g olive oil, 2.8g almonds, 0.5g lemon juice, 1.2g parsley, 33.0g green beans, 14.0g blueberries, 90.6g chicken, 0.1g pepper, 0.5g salt, 0.5g garlic, 2.8g vinegar, 4.5g zucchini, 0.7g mustard, 72.2g spinach (raw), 0.2g thyme, 9.1g wheat berry, and 4.5g squash. It provides approximately 329.7 kcal, 32.1g protein, 18.1g fat, and 10.5g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1560453174/rgb.png,329.7,32.1,18.1,10.5,"This plate contains 0.2g basil, 0.2g rosemary, 5.6g carrot, 13.0g olive oil, 2.8g almonds, 0.5g lemon juice, 1.2g parsley, 33.0g green beans, 14.0g blueberries, 90.6g chicken, 0.1g pepper, , 0.5g garlic, 2.8g vinegar, 4.5g zucchini, 0.7g mustard, 72.2g spinach (raw), 0.2g thyme, 9.1g wheat berry, and 4.5g squash."
dish_1562691032,"This plate contains 85.0g berries, 0.9g olive oil, 80.0g pineapple, 147.0g scrambled eggs, 66.0g roasted potatoes, and 36.1g broccoli. It provides approximately 419.7 kcal, 17.9g protein, 22.0g fat, and 39.1g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1562691032/rgb.png,419.7,17.9,22.0,39.1,"This plate contains 85.0g berries, 0.9g olive oil, 80.0g pineapple, 147.0g scrambled eggs, 66.0g roasted potatoes, and 36.1g broccoli."
dish_1563824250,"This plate contains 43.0g onions. It provides approximately 17.2 kcal, 0.5g protein, 0.0g fat, and 3.9g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563824250/rgb.png,17.2,0.5,0.0,3.9,This plate contains 43.0g onions.
dish_1560543755,"This plate contains 1.2g green onions, 43.0g chicken, 75.0g cauliflower, 1.1g green beans, 1.1g spinach (raw), 0.2g ginger, 1.1g olive oil, 86.0g roasted potatoes, 9.8g mixed greens, 4.9g carrot, 1.1g broccoli, 0.0g salt, 4.3g white rice, 2.2g vinegar, 19.7g rice noodles, 9.8g cabbage, 2.0g radishes, 0.7g soy sauce, and 0.8g garlic. It provides approximately 257.9 kcal, 17.4g protein, 8.9g fat, and 27.4g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1560543755/rgb.png,257.9,17.4,8.9,27.4,"This plate contains 1.2g green onions, 43.0g chicken, 75.0g cauliflower, 1.1g green beans, 1.1g spinach (raw), 0.2g ginger, 1.1g olive oil, 86.0g roasted potatoes, 9.8g mixed greens, 4.9g carrot, 1.1g broccoli, , 4.3g white rice, 2.2g vinegar, 19.7g rice noodles, 9.8g cabbage, 2.0g radishes, 0.7g soy sauce, and 0.8g garlic."
dish_1558549773,"This plate contains 10.0g spinach (raw). It provides approximately 2.3 kcal, 0.3g protein, 0.0g fat, and 0.4g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1558549773/rgb.png,2.3,0.3,0.0,0.4,This plate contains 10.0g spinach (raw).
dish_1563822597,"This plate contains 29.3g broccoli, 88.0g caesar salad, 29.3g squash, and 29.3g zucchini. It provides approximately 59.4 kcal, 4.1g protein, 2.2g fat, and 7.6g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563822597/rgb.png,59.4,4.1,2.2,7.6,"This plate contains 29.3g broccoli, 88.0g caesar salad, 29.3g squash, and 29.3g zucchini."
dish_1566920365,"This plate contains 141.0g salsa, 156.1g sweet potato, 3.9g olive oil, and 570.0g egg whites. It provides approximately 490.4 kcal, 60.7g protein, 5.3g fat, and 41.4g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1566920365/rgb.png,490.4,60.7,5.3,41.4,"This plate contains 141.0g salsa, 156.1g sweet potato, 3.9g olive oil, and 570.0g egg whites."
dish_1563984242,"This plate contains 81.0g sweet potato, 472.0g egg whites, 62.0g pineapple, 2.0g olive oil, and 136.0g cantaloupe. It provides approximately 402.1 kcal, 49.4g protein, 3.3g fat, and 36.8g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563984242/rgb.png,402.1,49.4,3.3,36.8,"This plate contains 81.0g sweet potato, 472.0g egg whites, 62.0g pineapple, 2.0g olive oil, and 136.0g cantaloupe."
dish_1558459276,"This plate contains 79.0g white rice. It provides approximately 102.7 kcal, 2.1g protein, 0.2g fat, and 22.1g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1558459276/rgb.png,102.7,2.1,0.2,22.1,This plate contains 79.0g white rice.
dish_1560974707,"This plate contains 4.2g onions, 25.9g spinach (raw), 3.1g cherry tomatoes, 2.1g tortilla chips, 5.2g corn, 3.1g cheese, 0.1g salt, 0.3g chili, 2.1g tomatoes, 0.5g garlic, 1.0g lime, 2.1g sour cream, and 10.4g black beans. It provides approximately 55.0 kcal, 3.0g protein, 2.0g fat, and 7.1g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1560974707/rgb.png,55.0,3.0,2.0,7.1,"This plate contains 4.2g onions, 25.9g spinach (raw), 3.1g cherry tomatoes, 2.1g tortilla chips, 5.2g corn, 3.1g cheese, , 0.3g chili, 2.1g tomatoes, 0.5g garlic, 1.0g lime, 2.1g sour cream, and 10.4g black beans."
dish_1564686855,"This plate contains 10.6g cucumbers, 4.2g onions, 92.0g brownies, 122.0g chicken breast, 8.5g cherry tomatoes, 25.0g olives, 0.5g salt, 21.2g lettuce, 105.0g cheese pizza, 31.8g mixed greens, 1.1g lime, 0.3g pepper, 8.5g olive oil, and 4.2g vinegar. It provides approximately 1030.2 kcal, 56.8g protein, 52.1g fat, and 85.9g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1564686855/rgb.png,1030.2,56.8,52.1,85.9,"This plate contains 10.6g cucumbers, 4.2g onions, 92.0g brownies, 122.0g chicken breast, 8.5g cherry tomatoes, 25.0g olives, , 21.2g lettuce, 105.0g cheese pizza, 31.8g mixed greens, 1.1g lime, 0.3g pepper, 8.5g olive oil, and 4.2g vinegar."
dish_1565119669,"This plate contains 39.0g kale, 75.5g zucchini, 39.0g chard, and 75.5g chayote squash. It provides approximately 56.0 kcal, 3.3g protein, 1.0g fat, and 10.8g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1565119669/rgb.png,56.0,3.3,1.0,10.8,"This plate contains 39.0g kale, 75.5g zucchini, 39.0g chard, and 75.5g chayote squash."
dish_1566417516,"This plate contains 31.6g wheat berry, 109.8g eggplant, 8.9g cherry tomatoes, 32.5g mixed greens, 2.6g celery root, 1.6g salt, 0.4g mustard, 1.6g garlic, 12.6g olive oil, 2.6g vinegar, 14.2g chard, 158.2g fish, 0.4g chive, 3.2g shallots, 40.0g roasted potatoes, 1.6g parsley, and 3.2g lemon juice. It provides approximately 385.4 kcal, 33.7g protein, 36.5g fat, and 23.5g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1566417516/rgb.png,385.4,33.7,36.5,23.5,"This plate contains 31.6g wheat berry, 109.8g eggplant, 8.9g cherry tomatoes, 32.5g mixed greens, 2.6g celery root, , 0.4g mustard, 1.6g garlic, 12.6g olive oil, 2.6g vinegar, 14.2g chard, 158.2g fish, 0.4g chive, 3.2g shallots, 40.0g roasted potatoes, 1.6g parsley, and 3.2g lemon juice."
dish_1558724031,"This plate contains 107.0g cherry tomatoes, 93.0g cantaloupe, 51.0g almonds, and 52.0g cauliflower. It provides approximately 358.7 kcal, 14.1g protein, 25.8g fat, and 25.8g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1558724031/rgb.png,358.7,14.1,25.8,25.8,"This plate contains 107.0g cherry tomatoes, 93.0g cantaloupe, 51.0g almonds, and 52.0g cauliflower."
dish_1558637393,"This plate contains 128.0g almonds. It provides approximately 740.0 kcal, 28.7g protein, 63.4g fat, and 29.1g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1558637393/rgb.png,740.0,28.7,63.4,29.1,This plate contains 128.0g almonds.
dish_1563393217,"This plate contains 39.3g zucchini, 39.3g broccoli, 39.3g squash, 35.0g onions, and 75.0g cucumbers. It provides approximately 49.2 kcal, 2.9g protein, 0.5g fat, and 9.8g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563393217/rgb.png,49.2,2.9,0.5,9.8,"This plate contains 39.3g zucchini, 39.3g broccoli, 39.3g squash, 35.0g onions, and 75.0g cucumbers."
dish_1562789268,"This plate contains 76.4g pork, 196.0g corn on the cob, 10.2g brown rice, 0.5g lemon juice, 0.3g parsley, 0.3g basil, 0.5g shallots, 2.5g cherry tomatoes, 55.0g cheese pizza, 1.0g pepper, 0.1g salt, 0.5g vinegar, 2.0g olive oil, 1.0g onions, 1.0g garlic, and 2.5g broccoli. It provides approximately 569.5 kcal, 32.6g protein, 22.7g fat, and 64.8g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1562789268/rgb.png,569.5,32.6,22.7,64.8,"This plate contains 76.4g pork, 196.0g corn on the cob, 10.2g brown rice, 0.5g lemon juice, 0.3g parsley, 0.3g basil, 0.5g shallots, 2.5g cherry tomatoes, 55.0g cheese pizza, 1.0g pepper, , 0.5g vinegar, 2.0g olive oil, 1.0g onions, 1.0g garlic, and 2.5g broccoli."
dish_1563998323,"This plate contains 79.0g roasted potatoes, 1.3g shallots, 4.4g olive oil, 4.6g tatsoi, 0.7g butter, 0.5g jalapenos, 7.1g wheat berry, 3.5g mushroom, 91.8g steak, 0.2g oregano, 70.9g chicken, 0.4g pepper, 1.2g salt, 1.6g garlic, 0.2g white wine, 0.9g cilantro, 0.2g vinegar, 0.2g thyme, 2.0g lemon juice, 0.2g rosemary, 1.8g arugula, 0.4g basil, 18.4g brown rice, 2.8g cream, 1.8g parsley, and 278.0g cauliflower. It provides approximately 634.5 kcal, 53.0g protein, 32.5g fat, and 35.3g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563998323/rgb.png,634.5,53.0,32.5,35.3,"This plate contains 79.0g roasted potatoes, 1.3g shallots, 4.4g olive oil, 4.6g tatsoi, 0.7g butter, 0.5g jalapenos, 7.1g wheat berry, 3.5g mushroom, 91.8g steak, 0.2g oregano, 70.9g chicken, 0.4g pepper, , 1.6g garlic, 0.2g white wine, 0.9g cilantro, 0.2g vinegar, 0.2g thyme, 2.0g lemon juice, 0.2g rosemary, 1.8g arugula, 0.4g basil, 18.4g brown rice, 2.8g cream, 1.8g parsley, and 278.0g cauliflower."
dish_1559700851,"This plate contains 28.2g spinach (raw), 2.8g vinegar, 3.5g tomatoes, 0.2g salt, 0.4g mustard, 0.5g garlic, 5.6g olive oil, 7.1g mustard greens, and 5.6g cucumbers. It provides approximately 61.1 kcal, 1.2g protein, 5.8g fat, and 1.9g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1559700851/rgb.png,61.1,1.2,5.8,1.9,"This plate contains 28.2g spinach (raw), 2.8g vinegar, 3.5g tomatoes, , 0.4g mustard, 0.5g garlic, 5.6g olive oil, 7.1g mustard greens, and 5.6g cucumbers."
dish_1561492204,"This plate contains 9.0g olive oil, 4.4g blueberries, 4.6g onions, 11.6g tomatoes, 2.5g salt, 128.0g fried rice, 92.9g chicken, 0.4g pepper, 0.3g mustard, 2.5g garlic, 11.6g bell peppers, 23.2g millet, 4.6g jalapenos, 31.9g spinach (raw), 2.2g vinegar, and 4.4g radishes. It provides approximately 488.6 kcal, 37.2g protein, 15.7g fat, and 49.1g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1561492204/rgb.png,488.6,37.2,15.7,49.1,"This plate contains 9.0g olive oil, 4.4g blueberries, 4.6g onions, 11.6g tomatoes, , 128.0g fried rice, 92.9g chicken, 0.4g pepper, 0.3g mustard, 2.5g garlic, 11.6g bell peppers, 23.2g millet, 4.6g jalapenos, 31.9g spinach (raw), 2.2g vinegar, and 4.4g radishes."
dish_1567613057,"This plate contains 3.8g olive oil, 369.0g egg whites, 121.0g watermelon, 151.2g sweet potato, and 104.0g salsa. It provides approximately 406.7 kcal, 40.7g protein, 5.0g fat, and 45.9g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1567613057/rgb.png,406.7,40.7,5.0,45.9,"This plate contains 3.8g olive oil, 369.0g egg whites, 121.0g watermelon, 151.2g sweet potato, and 104.0g salsa."
dish_1563996485,"This plate contains 0.3g salt, 0.0g pepper, 3.1g blueberries, 7.8g chard, 43.9g arugula, 1.5g vinegar, 0.5g mustard, 6.3g olive oil, 1.6g walnuts, 55.0g roasted potatoes, and 81.0g cauliflower. It provides approximately 178.0 kcal, 4.2g protein, 11.6g fat, and 16.6g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563996485/rgb.png,178.0,4.2,11.6,16.6,"This plate contains , 0.0g pepper, 3.1g blueberries, 7.8g chard, 43.9g arugula, 1.5g vinegar, 0.5g mustard, 6.3g olive oil, 1.6g walnuts, 55.0g roasted potatoes, and 81.0g cauliflower."
dish_1564761488,"This plate contains 21.0g turkey bacon, 105.0g egg whites, 97.0g fried rice, and 113.0g honeydew melons. It provides approximately 328.0 kcal, 21.7g protein, 8.4g fat, and 40.6g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1564761488/rgb.png,328.0,21.7,8.4,40.6,"This plate contains 21.0g turkey bacon, 105.0g egg whites, 97.0g fried rice, and 113.0g honeydew melons."
